ProductID,ProductName,total_revenue
38,Cte de Blaye,149984.2
29,Thringer Rostbratwurst,87736.40000000001
59,Raclette Courdavault,76296.0
60,Camembert Pierrot,50286.0
62,Tarte au sucre,49827.9
56,Gnocchi di nonna Alice,45121.2
51,Manjimup Dried Apples,44742.6
17,Alice Mutton,35482.2
18,Carnarvon Tigers,31987.5
28,Rssle Sauerkraut,26865.6
72,Mozzarella di Giovanni,25738.8
43,Ipoh Coffee,25079.2
69,Gudbrandsdalsost,24307.2
20,Sir Rodney's Marmalade,23635.8
64,Wimmers gute Semmelkndel,23009.0
7,Uncle Bob's Organic Dried Pears,22464.0
10,Ikura,22140.2
26,Gumbr Gummibrchen,21534.9
53,Perth Pasties,21510.199999999997
71,Flotemysost,20876.5
55,Pt chinois,19512.0
40,Boston Crab Meat,19048.3
16,Pavlova,18748.05
2,Chang,18559.2
63,Vegie-spread,17696.3
76,Lakkalikri,16794.0
61,Sirop d'rable,16438.8
31,Gorgonzola Telino,16172.5
27,Schoggi Schokolade,15231.5
30,Nord-Ost Matjeshering,14775.54
65,Louisiana Fiery Hot Pepper Sauce,14607.0
36,Inlagd Sill,14542.6
35,Steeleye Stout,14536.8
1,Chai,14277.6
11,Queso Cabrales,13902.0
8,Northwoods Cranberry Sauce,13760.0
39,Chartreuse verte,13150.8
12,Queso Manchego La Pastora,12866.8
70,Outback Lager,11472.0
44,Gula Malacca,10524.2
77,Original Frankfurter grne Soe,9685.0
21,Sir Rodney's Scones,9636.0
49,Maxilaku,9500.0
4,Chef Anton's Cajun Seasoning,9424.8
68,Scottish Longbreads,9362.5
42,Singaporean Hokkien Fried Mee,9332.4
32,Mascarpone Fabioli,9171.2
41,Jack's New England Clam Chowder,9098.1
9,Mishi Kobe Niku,8827.0
75,Rhnbru Klosterbier,8650.55
14,Tofu,8630.4
57,Ravioli Angelo,7807.8
6,Grandma's Boysenberry Spread,7345.0
22,Gustaf's Knckebrd,7232.4
34,Sasquatch Ale,6678.0
58,Escargots de Bourgogne,6664.75
19,Teatime Chocolate Biscuits,6159.5
46,Spegesild,6144.0
5,Chef Anton's Gumbo Mix,5801.15
13,Konbu,5234.4
54,Tourtire,5121.0
23,Tunnbrd,4840.2
24,Guaran Fantstica,4782.6
45,Rogede sild,4740.5
47,Zaanse koeken,4358.6
73,Rd Kaviar,4200.0
25,NuNuCa Nu-Nougat-Creme,4051.6
66,Louisiana Hot Spiced Okra,3519.0
50,Valkoinen suklaa,3510.0
52,Filo Mix,3383.8
3,Aniseed Syrup,3080.0
37,Gravad lax,3047.2
74,Longlife Tofu,2566.0
67,Laughing Lumberjack Lager,2562.0
15,Genen Shouyu,1813.5
33,Geitost,1713.5
48,Chocolade,1542.75
